search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,google_maps_url
"South Beach, Miami Beach, Florida",2.0,Renzzi On The Beach,"942 Pennsylvania Ave, Miami Beach, FL 33139, USA",2.7,61,OPERATIONAL,12,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 61 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: broken | Negative review signal: refund | Negative review signal: not maintained | Negative review signal: disappointing | Operational distress signal: no staff,https://maps.google.com/?cid=10685194591534037308&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Best Western Plus Atlantic Beach Resort,"4101 Collins Ave, Miami Beach, FL 33140, USA",3.4,3399,OPERATIONAL,12,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 3399 | Negative review signal: mold | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Negative review signal: disappointing | Operational distress signal: closed | Operational distress signal: understaffed,https://maps.google.com/?cid=8063864869224547005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Notebook Hotel,"216 W 43rd St, Miami Beach, FL 33140, USA",2.3,345,OPERATIONAL,11,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 345 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: smell | Negative review signal: bed bug | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned,https://maps.google.com/?cid=17054805790016989438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"South Beach, Miami Beach, Florida",2.0,Casa Boutique Hotel,"1334 Washington Ave, Miami Beach, FL 33139, USA",4.2,1096,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: worst | Negative review signal: refund | Negative review signal: noise | Negative review signal: stained | Operational distress signal: no staff,https://maps.google.com/?cid=18033946401649630043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",4,3749,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Kissimmee, Florida",3.0,Lambert Inn,"410 W Vine St, Kissimmee, FL 34741, USA",3.1,58,OPERATIONAL,9,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 58 | Negative review signal: filthy | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Operational distress signal: run down,https://maps.google.com/?cid=6902416395142631673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Mid-Beach, Miami Beach, Florida",2.0,Secret Garden Miami Beach,"4210 Collins Ave, Miami Beach, FL 33140, USA",3.2,403,OPERATIONAL,8,Low rating: 3.2 | Moderate-to-low rating with enough reviews: 403 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund,https://maps.google.com/?cid=4073148234205387648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Downtown Miami, Florida",3.0,Leamington Hotel,"307 NE 1st St, Miami, FL 33132, USA",2.3,1078,OPERATIONAL,8,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 1078 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down,https://maps.google.com/?cid=18001152706082396593&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
"Brickell, Miami, Florida",2.0,NUOVO,"175 SW 7th Street, 1501, Miami, FL 33130, USA",3,29,CLOSED_TEMPORARILY,8,Low rating: 3 | Moderate-to-low rating with enough reviews: 29 | Business status: CLOSED_TEMPORARILY | Negative review signal: filthy | Negative review signal: refund,https://maps.google.com/?cid=15708712905907593445&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
