search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,property_match_found,property_match_confidence,property_record_source,property_record_address,property_record_owner_hint,property_record_match_score,property_record_evidence
"South Beach, Miami Beach, Florida",2.0,Renzzi On The Beach,"942 Pennsylvania Ave, Miami Beach, FL 33139, USA",2.7,61,OPERATIONAL,12,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 61 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: broken | Negative review signal: refund | Negative review signal: not maintained | Negative review signal: disappointing | Operational distress signal: no staff,https://maps.google.com/?cid=10685194591534037308&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,942 pennsylvania ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'renzzi on the beach'
"Mid-Beach, Miami Beach, Florida",2.0,Best Western Plus Atlantic Beach Resort,"4101 Collins Ave, Miami Beach, FL 33140, USA",3.4,3402,OPERATIONAL,12,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 3402 | Negative review signal: mold | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund | Negative review signal: disappointing | Operational distress signal: closed | Operational distress signal: understaffed,https://maps.google.com/?cid=8063864869224547005&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4101 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'best western plus atlantic beach resort'
"Mid-Beach, Miami Beach, Florida",2.0,Notebook Hotel,"216 W 43rd St, Miami Beach, FL 33140, USA",2.3,345,OPERATIONAL,11,Low rating: 2.3 | Moderate-to-low rating with enough reviews: 345 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: smell | Negative review signal: bed bug | Negative review signal: refund | Negative review signal: noise | Operational distress signal: abandoned,https://maps.google.com/?cid=17054805790016989438&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,216 w 43rd st miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'notebook hotel'
"South Beach, Miami Beach, Florida",2.0,Casa Boutique Hotel,"1334 Washington Ave, Miami Beach, FL 33139, USA",4.2,1096,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: worst | Negative review signal: refund | Negative review signal: noise | Negative review signal: stained | Operational distress signal: no staff,https://maps.google.com/?cid=18033946401649630043&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1334 washington ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'casa boutique hotel'
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,101 fairway dr miami fl 33166 usa,,100,Prototype property match generated from normalized address for 'extended stay america premier suites- miami - airport - miami springs'
"Orlando International Drive, Florida",3.0,Four Points by Sheraton Orlando International Drive,"5905 International Dr, Orlando, FL 32819, USA",4,3749,OPERATIONAL,9,Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: noise | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed,https://maps.google.com/?cid=896922369922574543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5905 international dr orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'four points by sheraton orlando international drive'
"Mid-Beach, Miami Beach, Florida",2.0,Secret Garden Miami Beach,"4210 Collins Ave, Miami Beach, FL 33140, USA",3.2,403,OPERATIONAL,8,Low rating: 3.2 | Moderate-to-low rating with enough reviews: 403 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Negative review signal: refund,https://maps.google.com/?cid=4073148234205387648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,4210 collins ave miami beach fl 33140 usa,,100,Prototype property match generated from normalized address for 'secret garden miami beach'
"Miami International Airport, Florida",3.0,Clarion Inn & Suites Miami International Airport,"5301 NW 36th St, Miami Springs, FL 33166, USA",3.3,4717,OPERATIONAL,8,Low rating: 3.3 | Moderate-to-low rating with enough reviews: 4717 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: refund | Operational distress signal: run down,https://maps.google.com/?cid=14300043739092299284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5301 nw 36th st miami springs fl 33166 usa,,100,Prototype property match generated from normalized address for 'clarion inn & suites miami international airport'
"Orlando International Drive, Florida",3.0,Super 8 by Wyndham Orlando International Drive,"5900 American Way, Orlando, FL 32819, USA",3.1,1938,OPERATIONAL,8,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 1938 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: worst | Negative review signal: unsafe,https://maps.google.com/?cid=7160547498519547018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,5900 american way orlando fl 32819 usa,,100,Prototype property match generated from normalized address for 'super 8 by wyndham orlando international drive'
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,725,OPERATIONAL,7,Moderate-to-low rating with enough reviews: 725 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,True,Prototype,Address normalization prototype,1050 washington ave miami beach fl 33139 usa,,100,Prototype property match generated from normalized address for 'kenmore village hotel'
