Company Name,Universe Status,Reason
A Highly Profitable Land Development Platform,KEEP,Private company
A-C-T Environmental & Infrastructure,KEEP,Private company
AG General Contractor,KEEP,Private company
"AST Technology Labs, Inc.",KEEP,Private company
Abbey Carpet Co. Inc.,KEEP,Private company
Abeka,KEEP,Private company
Abell Pest Control Inc.,KEEP,Private company
Ace Electric,KEEP,Private company
Acosta,KEEP,Private company
Adventure Landing,KEEP,Private company
Aero Adventure Aviation,KEEP,Private company
Air Pros USA,KEEP,Private company
Air Sunshine,KEEP,Private company
